SPECID,OB star,AF star,Gstar,Kstar,Mstar
G09_Y6_066_216,,1,,,
G12_Y6_056_232,,1,,,
G09_Y2_041_135,,1,,,
G15_Y3_027_066,,1,,,
G15_Y3_007_120,,1,,,
G09_Y4_241_324,,1,,,
G09_Y4_245_152,,1,,,
G15_Y5_002_138,,1,,,
G15_Y6_081_176,,1,,,
G09_Y5_053_184,,1,,,
G15_Y6_075_269,,1,,,
G09_Y2_026_008,,1,,,
G02_Y3_019_129,,1,,,
G15_Y1_IS1_056,,1,,,
G12_Y1_ND3_388,,1,,,
G12_Y3_037_136,,1,,,
G12_Y1_FS2_132,,1,,,
G15_Y6_080_073,,1,,,
G15_Y3_018_336,,1,,,
G15_Y6_084_146,,1,,,
G12_Y6_054_011,,1,,,
G09_Y2_019_181,,1,,,
G02_Y5_059_010,,1,,,
G15_Y3_013_272,,1,,,
G09_Y5_005_173,,1,,,
G15_Y6_071_180,,1,,,
G09_Y4_233_274,,1,,,
G15_Y3_044_304,,1,,,
G15_Y1_BN1_053,,1,,,
G15_Y4_227_348,,1,,,
G12_Y6_054_285,,1,,,
G15_Y5_028_233,,1,,,
G15_Y1_DS1_235,,1,,,
G15_Y4_224_218,,1,,,
G15_Y3_030_034,,1,,,
G15_Y3_011_316,,1,,,
G15_Y1_DS1_254,,1,,,
G15_Y3_051_324,,1,,,
G12_Y6_058_326,,1,,,
G15_Y2_005_266,,1,,,
G12_Y6_057_219,,1,,,
G15_Y6_090_058,,1,,,
G15_Y6_084_125,,1,,,
G15_Y6_092_152,,1,,,
G15_Y6_081_239,,1,,,
G09_Y4_213_116,,1,,,
G12_Y2_017_275,,1,,,
G15_Y3_001_295,,1,,,
G15_Y1_DS1_242,,1,,,
G15_Y3_005_280,,1,,,
G15_Y3_039_198,,1,,,
G15_Y6_085_052,,1,,,
G15_Y3_045_354,,1,,,
G12_Y6_057_177,,1,,,
G15_Y1_DS1_236,,1,,,
G09_Y1_CX1_060,,1,,,
G09_Y1_EX2_109,,1,,,
G15_Y4_203_047,,1,,,
G15_Y2_012_119,,1,,,
G09_Y5_035_208,,1,,,
G09_Y3_005_114,,1,,,
G15_Y4_223_225,,1,,,
G09_Y4_239_071,,1,,,
G15_Y3_032_230,,1,,,
G15_Y4_212_005,,1,,,
G15_Y3_026_388,,1,,,
G15_Y4_240_159,,1,,,
G15_Y2_022_362,,1,,,
G15_Y2_007_198,,1,,,
G15_Y3_034_065,,1,,,
G15_Y3_034_265,,1,,,
G15_Y3_004_141,,1,,,
G15_Y6_099_018,,1,,,
G12_Y6_086_078,,1,,,
G15_Y2_017_010,,1,,,
G09_Y2_027_331,,1,,,
G09_Y4_254_245,,1,,,
G09_Y1_AN2_286,,1,,,
G09_Y1_AS1_127,,1,,,
G12_Y2_004_015,,1,,,
G15_Y3_005_215,,1,,,
G09_Y4_258_193,,1,,,
G09_Y5_018_238,,1,,,
G09_Y1_BN1_043,,1,,,
G15_Y2_023_008,,1,,,
G15_Y2_015_320,,1,,,
G09_Y5_001_293,,1,,,
G15_Y3_041_064,,1,,,
G15_Y4_236_174,,1,,,
G15_Y1_AX1_189,,1,,,
G15_Y6_092_202,,1,,,
G15_Y2_003_256,,1,,,
G15_Y3_010_020,,1,,,
G12_Y3_040_117,,1,,,
G15_Y1_BN1_216,,1,,,
G15_Y6_083_092,,1,,,
G15_Y5_028_376,,1,,,
G15_Y3_016_363,,1,,,
G09_Y1_BS1_258,,1,,,
G15_Y5_042_017,,1,,,
G12_Y3_011_158,,1,,,
G12_Y6_061_189,,1,,,
G09_Y2_005_195,,1,,,
G15_Y4_225_101,,1,,,
G15_Y2_017_279,,1,,,
G12_Y3_013_125,,1,,,
G15_Y6_093_021,,1,,,
G15_Y2_006_286,,1,,,
G15_Y3_050_332,,1,,,
G09_Y4_216_071,,1,,,
G09_Y4_252_333,,1,,,
G09_Y2_041_255,,1,,,
G09_Y6_080_196,,1,,,
G15_Y2_013_118,,1,,,
G15_Y6_084_233,,1,,,
G15_Y6_074_246,,1,,,
G09_Y3_001_148,,1,,,
G09_Y2_008_280,,1,,,
G15_Y4_216_214,,1,,,
G09_Y2_010_193,,1,,,
G15_Y6_073_246,,1,,,
G09_Y1_BN2_058,,1,,,
G15_Y3_015_339,,1,,,
G12_Y2_024_062,,1,,,
G15_Y6_100_248,,1,,,
G12_Y1_CS1_296,,1,,,
G09_Y6_068_338,,1,,,
G09_Y5_034_039,,1,,,
G15_Y3_032_188,,1,,,
G15_Y3_040_306,,1,,,
G09_Y5_001_186,,1,,,
G12_Y6_060_027,,1,,,
G12_Y6_050_175,,1,,,
G15_Y4_230_094,,1,,,
G15_Y2_015_225,,1,,,
G15_Y1_DS1_241,,1,,,
G15_Y4_234_104,,1,,,
G12_Y6_061_201,,1,,,
G15_Y6_082_005,,1,,,
G15_Y6_093_025,,1,,,
G15_Y3_038_031,,1,,,
G12_Y2_031_062,,1,,,
G15_Y4_207_175,,1,,,
G15_Y6_084_211,,1,,,
G12_Y1_DX2_053,,1,,,
G15_Y3_011_198,,1,,,
G12_Y5_012_175,,1,,,
G15_Y6_074_323,,1,,,
G15_Y5_003_280,,1,,,
G12_Y3_045_237,,1,,,
G15_Y2_003_362,,1,,,
G12_Y6_056_345,,1,,,
G12_Y2_042_399,,1,,,
G09_Y4_204_260,,1,,,
G15_Y4_209_223,,1,,,
G15_Y5_032_066,,1,,,
G15_Y5_033_052,,1,,,
G02_Y5_057_329,,1,,,
G12_Y6_060_176,,1,,,
G09_Y4_243_169,,1,,,
G15_Y6_084_228,,1,,,
G15_Y4_229_282,,1,,,
G15_Y2_019_111,,1,,,
G15_Y3_013_223,,1,,,
G12_Y6_053_082,,1,,,
G15_Y1_GX2_116,,1,,,
G15_Y6_085_027,,1,,,
G15_Y4_225_234,,1,,,
G09_Y4_244_057,,1,,,
G15_Y2_023_041,,1,,,
G15_Y3_008_131,,1,,,
G15_Y1_FN2_048,,1,,,
G09_Y5_002_276,,1,,,
G15_Y4_220_069,,1,,,
G12_Y2_017_131,,1,,,
G09_Y1_BN1_335,,1,,,
G09_Y1_GS2_059,,1,,,
G09_Y2_029_053,,1,,,
G12_Y2_031_097,,1,,,
G09_Y6_062_147,,1,,,
G09_Y1_GS1_015,,1,,,
G15_Y5_028_366,,1,,,
G09_Y1_EN1_366,,1,,,
G09_Y2_022_344,,1,,,
G15_Y5_042_283,,1,,,
G09_Y4_233_254,,1,,,
G15_Y5_030_299,,1,,,
G09_Y6_100_021,,1,,,
G15_Y5_005_063,,1,,,
G15_Y3_039_047,,1,,,
G12_Y2_013_054,,1,,,
G15_Y6_094_090,,1,,,
G12_Y3_022_011,,1,,,
G09_Y4_203_145,,1,,,
G09_Y4_252_292,,1,,,
G09_Y2_003_123,,1,,,
G12_Y1_CN1_297,,1,,,
G02_Y3_013_275,,1,,,
G12_Y6_058_139,,1,,,
G15_Y3_002_143,,1,,,
G15_Y5_028_035,,1,,,
G09_Y2_032_066,,1,,,
G09_Y2_028_335,,1,,,
G15_Y5_033_289,,1,,,
G15_Y5_020_127,,1,,,
G15_Y6_089_042,,1,,,
G09_Y4_218_019,,1,,,
G02_Y3_019_312,,1,,,
G09_Y4_217_054,,1,,,
G15_Y2_019_083,,1,,,
G15_Y1_DS1_037,,1,,,
G15_Y6_084_370,,1,,,
G15_Y2_005_028,,1,,,
G15_Y3_005_177,,1,,,
G09_Y5_030_248,,1,,,
G15_Y1_DS1_243,,1,,,
G09_Y2_033_171,,1,,,
G02_Y5_079_018,,1,,,
G15_Y3_032_187,,1,,,
G02_Y3_018_292,,1,,,
G15_Y1_DS1_263,,1,,,
G15_Y2_009_193,,1,,,
G15_Y4_238_222,,1,,,
G15_Y4_218_027,,1,,,
G15_Y2_019_056,,1,,,
G09_Y2_038_286,,1,,,
G15_Y4_229_273,,1,,,
G15_Y6_075_284,,1,,,
G12_Y6_061_158,,1,,,
G15_Y4_230_072,,1,,,
G15_Y4_207_323,,1,,,
G12_Y3_005_332,,1,,,
G15_Y6_073_211,,1,,,
G12_Y3_045_164,,1,,,
G15_Y6_082_376,,1,,,
G09_Y4_225_183,,1,,,
G15_Y2_003_196,,1,,,
G15_Y1_DN2_099,,1,,,
G09_Y2_032_128,,1,,,
G09_Y4_220_072,,1,,,
G15_Y1_DS1_255,,1,,,
G12_Y1_GS2_195,,1,,,
G09_Y2_027_381,,1,,,
G12_Y6_085_191,,1,,,
G02_Y5_082_059,,1,,,
G09_Y1_CS2_268,,1,,,
G15_Y3_047_313,,1,,,
G15_Y5_002_198,,1,,,
G09_Y1_BS1_016,,1,,,
G15_Y2_017_286,,1,,,
G09_Y6_068_272,,1,,,
G15_Y3_037_094,,1,,,
G15_Y1_HN2_111,,1,,,
G09_Y4_234_280,,1,,,
G12_Y1_GN1_184,,1,,,
G09_Y1_AS2_233,,1,,,
G15_Y2_007_140,,1,,,
G12_Y6_058_358,,1,,,
G12_Y1_AS2_184,,1,,,
G09_Y2_022_397,,1,,,
G15_Y3_050_005,,1,,,
G15_Y4_229_274,,1,,,
G12_Y6_070_135,,1,,,
G09_Y5_001_221,,1,,,
G12_Y6_054_389,,1,,,
G12_Y6_056_299,,1,,,
G09_Y1_CX1_395,,1,,,
G15_Y6_101_126,,1,,,
G15_Y2_012_012,,1,,,
G09_Y2_004_061,,1,,,
G15_Y5_005_083,,1,,,
G09_Y5_006_226,,1,,,
G12_Y6_086_279,,1,,,
G12_Y3_026_303,,1,,,
G02_Y4_038_248,,1,,,
G15_Y1_DS1_225,,1,,,
G12_Y2_034_382,,1,,,
G15_Y6_093_022,,1,,,
G15_Y5_004_325,,1,,,
G02_Y5_083_144,,1,,,
G09_Y1_CX2_029,,1,,,
G09_Y6_090_240,,1,,,
G09_Y4_244_259,,1,,,
G09_Y1_DN2_091,,1,,,
G02_Y5_061_083,,1,,,
G15_Y3_036_198,,1,,,
G09_Y2_003_128,,1,,,
G09_Y1_DN1_072,,1,,,
G15_Y3_022_061,,1,,,
G15_Y6_093_028,,1,,,
G15_Y6_085_102,,1,,,
G09_Y2_027_072,,1,,,
G15_Y4_237_329,,1,,,
G15_Y3_021_299,,1,,,
G15_Y6_074_029,,1,,,
G09_Y4_205_057,,1,,,
G15_Y3_047_262,,1,,,
G09_Y2_039_279,,1,,,
G12_Y1_IN1_047,,1,,,
G12_Y3_035_075,,1,,,
G09_Y4_222_303,,1,,,
G09_Y4_252_079,,1,,,
G15_Y6_077_198,,1,,,
G12_Y3_044_385,,1,,,
G12_Y2_004_083,,1,,,
G09_Y3_012_019,,1,,,
G15_Y6_093_024,,1,,,
G15_Y6_085_207,,1,,,
G15_Y2_023_037,,1,,,
G09_Y5_003_197,,1,,,
G15_Y3_041_310,,1,,,
G09_Y4_252_274,,1,,,
G09_Y4_206_034,,1,,,
G15_Y4_228_376,,1,,,
G15_Y1_IN1_208,,1,,,
G15_Y3_025_005,,1,,,
G15_Y4_223_289,,1,,,
G09_Y1_FX1_307,,1,,,
G15_Y3_034_246,,1,,,
G09_Y6_086_258,,1,,,
G15_Y3_008_025,,1,,,
G15_Y4_238_225,,1,,,
G15_Y4_205_299,,1,,,
G09_Y2_039_326,,1,,,
G15_Y3_050_346,,1,,,
G15_Y3_010_364,,1,,,
G09_Y4_233_282,,1,,,
G15_Y2_012_305,,1,,,
G15_Y4_238_365,,1,,,
G09_Y2_039_081,,1,,,
G09_Y4_216_051,,1,,,
G12_Y3_005_023,,1,,,
G09_Y1_BX2_217,,1,,,
G15_Y2_013_106,,1,,,
G15_Y2_007_129,,1,,,
G02_Y4_027_306,,1,,,
G12_Y6_055_114,,1,,,
G09_Y1_BX2_248,,1,,,
G15_Y1_IN1_135,,1,,,
G15_Y5_032_141,,1,,,
G09_Y4_234_307,,1,,,
G15_Y4_222_377,,1,,,
G09_Y4_243_166,,1,,,
G15_Y4_238_107,,1,,,
G09_Y2_035_273,,1,,,
G09_Y4_252_353,,1,,,
G15_Y3_001_251,,1,,,
G09_Y4_244_196,,1,,,
G12_Y6_055_076,,1,,,
G15_Y4_242_240,,1,,,
G09_Y5_016_095,,1,,,
G09_Y2_041_321,,1,,,
G15_Y1_DN2_138,,1,,,
G12_Y2_013_244,,1,,,
G12_Y6_070_092,,1,,,
G15_Y6_094_113,,1,,,
G09_Y2_021_202,,1,,,
G09_Y3_008_074,,1,,,
G15_Y6_074_394,,1,,,
G15_Y4_232_034,,1,,,
G15_Y6_083_122,,1,,,
G15_Y2_007_286,,1,,,
G09_Y6_080_218,,1,,,
G09_Y2_008_041,,1,,,
G15_Y2_017_240,,1,,,
G09_Y4_217_101,,1,,,
G09_Y1_BN2_164,,1,,,
G15_Y2_018_053,,1,,,
G12_Y6_080_093,,1,,,
G12_Y3_022_164,,1,,,
G09_Y4_224_037,,1,,,
G09_Y1_AX1_072,,1,,,
G15_Y3_038_055,,1,,,
G09_Y4_203_057,,1,,,
G02_Y5_082_143,,1,,,
G12_Y6_080_365,,1,,,
G09_Y4_222_351,,1,,,
G15_Y6_083_087,,1,,,
G09_Y1_AN1_207,,1,,,
G12_Y3_003_067,,1,,,
G15_Y4_219_323,,1,,,
G09_Y1_GS2_376,,1,,,
G15_Y3_037_015,,1,,,
G09_Y4_214_040,,1,,,
G09_Y4_214_023,,1,,,
G15_Y1_GS2_369,,1,,,
G12_Y6_056_298,,1,,,
G09_Y4_242_345,,1,,,
G15_Y3_021_017,,1,,,
G12_Y3_030_077,,1,,,
G15_Y2_008_024,,1,,,
G15_Y6_091_172,,1,,,
G15_Y4_236_368,,1,,,
G09_Y4_238_255,,1,,,
G15_Y1_DS1_268,,1,,,
G15_Y1_DS1_237,,1,,,
G12_Y6_053_103,,1,,,
G12_Y1_EX1_074,,1,,,
G09_Y1_CX2_123,,1,,,
G15_Y1_IS1_037,,1,,,
G15_Y1_CS1_143,,1,,,
G15_Y5_032_130,,1,,,
G09_Y4_257_035,,1,,,
G12_Y1_ES2_102,,1,,,
G15_Y1_DS1_229,,1,,,
G09_Y1_DS1_268,,1,,,
G15_Y6_099_040,,1,,,
G15_Y1_DS2_217,,1,,,
G12_Y3_009_219,,1,,,
G09_Y1_GS2_328,,1,,,
G09_Y1_GS1_174,,1,,,
G09_Y2_028_397,,1,,,
G09_Y6_074_180,,1,,,
G15_Y4_211_336,,1,,,
G12_Y6_060_140,,1,,,
G09_Y4_231_175,,1,,,
G15_Y4_205_368,,1,,,
G09_Y4_235_278,,1,,,
G15_Y4_214_242,,1,,,
G09_Y4_244_242,,1,,,
G09_Y2_025_262,,1,,,
G12_Y6_057_266,,1,,,
G09_Y2_021_145,,1,,,
G02_Y5_116_307,,1,,,
G15_Y4_213_048,,1,,,
G09_Y1_AS1_227,,1,,,
G12_Y6_058_314,,1,,,
G09_Y4_213_078,,1,,,
G12_Y1_FS2_177,,1,,,
G02_Y5_106_342,,1,,,
G12_Y6_061_135,,1,,,
G15_Y4_221_033,,1,,,
G15_Y6_100_190,,1,,,
G15_Y4_209_041,,1,,,
G15_Y3_004_008,,1,,,
G15_Y2_017_391,,1,,,
G15_Y6_073_209,,1,,,
G15_Y1_IS1_038,,1,,,
G09_Y5_001_037,,1,,,
G15_Y2_017_116,,1,,,
G09_Y4_244_332,,1,,,
G09_Y5_005_268,,1,,,
G15_Y6_093_019,,1,,,
G09_Y5_002_252,,1,,,
G12_Y6_056_026,,1,,,
G09_Y2_020_087,,1,,,
G12_Y6_056_206,,1,,,
G15_Y4_213_242,,1,,,
G15_Y3_003_095,,1,,,
G09_Y1_HS2_341,,1,,,
G15_Y4_225_084,,1,,,
G15_Y4_212_129,,1,,,
G15_Y6_074_240,,1,,,
G09_Y2_033_214,,1,,,
G09_Y4_259_202,,1,,,
G09_Y4_225_031,,1,,,
G15_Y1_CS1_299,,1,,,
G09_Y1_DS1_070,,1,,,
G09_Y2_027_079,,1,,,
G12_Y6_070_109,,1,,,
G15_Y3_038_235,,1,,,
G09_Y2_027_157,,1,,,
G15_Y6_093_026,,1,,,
G09_Y4_214_072,,1,,,
G09_Y5_050_156,,1,,,
G09_Y6_068_027,,1,,,
G12_Y6_060_099,,1,,,
G12_Y6_058_070,,1,,,
G15_Y4_208_163,,1,,,
G09_Y4_258_144,,1,,,
G15_Y1_DN2_136,,1,,,
G09_Y3_026_179,,1,,,
G15_Y1_DS1_017,,1,,,
G02_Y5_052_096,,1,,,
G15_Y1_HS2_270,,1,,,
G09_Y4_250_066,,1,,,
G15_Y6_093_020,,1,,,
G15_Y4_229_134,,1,,,
G02_Y3_019_307,,1,,,
G09_Y4_204_162,,1,,,
G15_Y2_018_141,,1,,,
G09_Y2_033_353,,1,,,
G15_Y4_207_210,,1,,,
G09_Y4_247_086,,1,,,
G09_Y1_BS1_044,,1,,,
G09_Y4_233_042,,1,,,
G15_Y3_005_271,,1,,,
G02_Y6_010_387,,1,,,
G09_Y2_030_248,,1,,,
G09_Y1_BS1_377,,1,,,
G12_Y5_005_058,,1,,,
G09_Y1_GN1_210,,1,,,
G15_Y1_EN2_095,,1,,,
G15_Y2_012_253,,1,,,
G09_Y2_034_079,,1,,,
G09_Y4_243_184,,1,,,
G12_Y6_070_158,,1,,,
G09_Y1_CS1_237,,1,,,
G09_Y4_252_267,,1,,,
G09_Y4_243_241,,1,,,
G09_Y1_AX2_213,,1,,,
G15_Y4_208_295,,1,,,
G09_Y4_241_333,,1,,,
G09_Y2_022_230,,1,,,
G09_Y2_034_090,,1,,,
G15_Y3_012_262,,1,,,
G15_Y2_007_007,,1,,,
G09_Y1_DX2_127,,1,,,
G09_Y2_021_048,,1,,,
G09_Y2_019_161,,1,,,
G15_Y6_085_005,,1,,,
G15_Y4_203_110,,1,,,
G09_Y4_253_247,,1,,,
G09_Y2_029_241,,1,,,
G09_Y1_FS1_205,,1,,,
G09_Y4_222_223,,1,,,
G09_Y4_227_287,,1,,,
G09_Y4_237_067,,1,,,
G09_Y4_222_312,,1,,,
G15_Y5_022_307,,1,,,
G15_Y4_240_305,,1,,,
G09_Y2_013_026,,1,,,
G15_Y2_017_044,,1,,,
G15_Y1_DN2_234,,1,,,
G09_Y1_AS2_058,,1,,,
G09_Y4_213_193,,1,,,
G15_Y4_208_135,,1,,,
G09_Y1_FS2_315,,1,,,
G15_Y2_009_311,,1,,,
G09_Y1_DS2_174,,1,,,
G09_Y6_068_102,,1,,,
G02_Y5_095_015,,1,,,
G02_Y4_037_277,,1,,,
G15_Y6_074_380,,1,,,
G09_Y1_HS1_066,,1,,,
G15_Y6_086_098,,1,,,
G09_Y4_217_312,,1,,,
G02_Y3_014_090,,1,,,
G15_Y6_101_319,,1,,,
G15_Y5_020_072,,1,,,
G15_Y3_022_369,,1,,,
G15_Y3_016_216,,1,,,
G09_Y1_ES1_258,,1,,,
G02_Y5_071_209,,1,,,
G02_Y5_110_398,,1,,,
G15_Y3_015_173,,1,,,
G09_Y4_205_075,,1,,,
G12_Y1_CS1_356,,1,,,
G15_Y6_093_380,,1,,,
G02_Y3_016_289,,1,,,
G15_Y4_201_358,,1,,,
G15_Y2_007_044,,1,,,
G15_Y6_081_224,,1,,,
G12_Y5_008_336,,1,,,
G09_Y1_FS1_399,,1,,,
G09_Y2_020_235,,1,,,
G09_Y1_AX1_301,,1,,,
G15_Y2_017_242,,1,,,
G09_Y4_261_183,,1,,,
G15_Y1_CX2_278,,1,,,
G15_Y4_225_356,,1,,,
G09_Y4_254_338,,1,,,
G12_Y6_073_361,,1,,,
G15_Y2_022_140,,1,,,
G09_Y2_034_257,,1,,,
G09_Y6_065_128,,1,,,
G15_Y1_HN2_304,,1,,,
G02_Y4_038_318,,1,,,
G02_Y4_039_212,,1,,,
G15_Y4_238_209,,1,,,
G15_Y4_212_006,,1,,,
G09_Y2_020_057,,1,,,
G09_Y1_AN1_334,,1,,,
G15_Y4_223_063,,1,,,
G09_Y2_007_181,,1,,,
G15_Y6_087_081,,1,,,
G09_Y4_242_256,,1,,,
G09_Y4_261_186,,1,,,
G12_Y2_032_258,,1,,,
G15_Y3_014_201,,1,,,
G12_Y2_004_283,,1,,,
G09_Y1_BS1_394,,1,,,
G15_Y4_243_056,,1,,,
G15_Y2_017_278,,1,,,
G15_Y1_HN2_210,,1,,,
G15_Y2_022_301,,1,,,
G12_Y1_EX1_294,,1,,,
G09_Y2_021_333,,1,,,
G12_Y2_022_352,,1,,,
G09_Y4_246_162,,1,,,
G09_Y2_026_071,,1,,,
G09_Y2_038_315,,1,,,
G09_Y1_AS2_157,,1,,,
G09_Y3_015_218,,1,,,
G09_Y6_080_103,,1,,,
G12_Y6_056_194,,1,,,
G12_Y1_EX1_053,,1,,,
G15_Y3_001_029,,1,,,
G15_Y1_FN2_156,,1,,,
G02_Y5_085_014,,1,,,
G15_Y3_036_291,,1,,,
G15_Y2_018_316,,1,,,
G12_Y6_061_281,,1,,,
G15_Y4_206_275,,1,,,
G12_Y2_012_223,,1,,,
G15_Y6_084_288,,1,,,
G09_Y1_FX2_055,,1,,,
G09_Y2_003_307,,1,,,
G12_Y2_019_220,,1,,,
G09_Y2_028_083,,1,,,
G12_Y6_058_158,,1,,,
G12_Y6_070_366,,1,,,
G09_Y4_203_255,,1,,,
G15_Y4_219_047,,1,,,
G02_Y5_106_088,,1,,,
G15_Y2_015_220,,1,,,
G02_Y5_088_190,,1,,,
G09_Y2_034_055,,1,,,
G09_Y2_007_296,,1,,,
G15_Y3_007_323,,1,,,
G02_Y6_017_099,,1,,,
G15_Y4_217_017,,1,,,
G09_Y4_226_005,,1,,,
G12_Y1_FN1_319,,1,,,
G15_Y2_015_262,,1,,,
G09_Y3_008_175,,1,,,
G15_Y2_019_143,,1,,,
G09_Y2_032_261,,1,,,
G15_Y2_013_031,,1,,,
G09_Y2_004_125,,1,,,
G09_Y1_CS1_107,,1,,,
G15_Y1_DS1_238,,1,,,
G15_Y4_207_133,,1,,,
G12_Y1_ND7_352,,1,,,
G09_Y4_222_268,,1,,,
G09_Y1_AX2_387,,1,,,
G09_Y1_AS1_362,,1,,,
G09_Y3_015_282,,1,,,
G12_Y6_060_380,,1,,,
G02_Y6_009_009,,1,,,
G09_Y5_022_284,,1,,,
G09_Y4_252_263,,1,,,
G12_Y6_057_179,,1,,,
G12_Y1_GS2_089,,1,,,
G09_Y2_029_270,,1,,,
G12_Y2_004_037,,1,,,
G12_Y1_AS1_305,,1,,,
G15_Y4_244_369,,1,,,
G02_Y5_107_295,,1,,,
G09_Y1_test_258,,1,,,
G15_Y6_074_016,,1,,,
G09_Y1_EX1_240,,1,,,
G15_Y4_233_043,,1,,,
G15_Y3_002_131,,1,,,
G09_Y6_061_383,,1,,,
G15_Y2_019_138,,1,,,
G09_Y4_257_045,,1,,,
G15_Y2_005_091,,1,,,
G02_Y3_003_147,,1,,,
G09_Y4_227_107,,1,,,
G12_Y6_060_174,,1,,,
G12_Y5_033_330,,1,,,
G09_Y2_005_307,,1,,,
G12_Y1_ND3_305,,1,,,
G09_Y2_033_298,,1,,,
G09_Y2_022_220,,1,,,
G15_Y1_BN1_080,,1,,,
G09_Y4_216_278,,1,,,
G09_Y1_DX1_125,,1,,,
G15_Y2_008_094,,1,,,
G15_Y1_HN2_036,,1,,,
G09_Y1_HN2_065,,1,,,
G09_Y2_033_263,,1,,,
G15_Y1_HS1_106,,1,,,
G09_Y1_FS2_074,,1,,,
G09_Y1_ES2_111,,1,,,
G09_Y1_FX2_053,,1,,,
G15_Y4_224_319,,1,,,
G09_Y4_259_352,,1,,,
G09_Y2_005_315,,1,,,
G15_Y3_011_376,,1,,,
G15_Y2_018_205,,1,,,
G09_Y4_225_275,,1,,,
G12_Y3_022_127,,1,,,
G09_Y4_210_175,,1,,,
G12_Y1_AS1_079,,1,,,
G09_Y1_AX1_172,,1,,,
G09_Y2_028_133,,1,,,
G09_Y1_IN1_276,,1,,,
G15_Y4_203_393,,1,,,
G09_Y1_DN2_137,,1,,,
G12_Y1_EX1_202,,1,,,
G02_Y3_006_235,,1,,,
G09_Y4_210_338,,1,,,
G09_Y6_060_106,,1,,,
G12_Y1_CS1_330,,1,,,
G12_Y1_IS1_090,,1,,,
G09_Y4_234_314,,1,,,
G09_Y4_246_187,,1,,,
G09_Y2_023_192,,1,,,
G09_Y4_259_258,,1,,,
G02_Y6_016_218,,1,,,
G02_Y6_008_210,,1,,,
G15_Y1_CS2_286,,1,,,
G02_Y6_009_229,,1,,,
G09_Y6_061_388,,1,,,
G15_Y5_003_227,,1,,,
G15_Y1_IN1_140,,1,,,
G15_Y4_229_253,,1,,,
G09_Y1_CN1_156,,1,,,
G12_Y1_ND1_285,,1,,,
G12_Y1_ND2_013,,1,,,
G09_Y1_AN1_060,,1,,,
G09_Y1_FX2_036,,1,,,

